progress: 770.0 s, 1008.2 tps, lat 296.093 ms stddev 351.902, 0 failed
progress: 780.0 s, 1018.6 tps, lat 296.716 ms stddev 368.562, 0 failed
progress: 790.0 s, 1026.8 tps, lat 291.759 ms stddev 343.719, 0 failed
progress: 800.0 s, 986.1 tps, lat 303.703 ms stddev 354.894, 0 failed
progress: 810.0 s, 994.2 tps, lat 301.711 ms stddev 351.456, 0 failed
progress: 820.0 s, 986.6 tps, lat 304.755 ms stddev 361.557, 0 failed
progress: 830.0 s, 982.3 tps, lat 305.601 ms stddev 358.245, 0 failed
progress: 840.0 s, 1002.2 tps, lat 298.245 ms stddev 352.501, 0 failed
progress: 850.0 s, 1000.8 tps, lat 300.797 ms stddev 360.588, 0 failed
progress: 860.0 s, 1027.6 tps, lat 292.258 ms stddev 347.941, 0 failed
progress: 870.0 s, 1001.5 tps, lat 296.846 ms stddev 356.492, 0 failed
progress: 880.0 s, 987.0 tps, lat 305.451 ms stddev 367.768, 0 failed
progress: 890.0 s, 991.0 tps, lat 301.974 ms stddev 372.016, 0 failed
progress: 900.0 s, 1000.3 tps, lat 300.128 ms stddev 357.812, 0 failed
progress: 910.0 s, 1025.8 tps, lat 293.798 ms stddev 369.433, 0 failed
progress: 920.0 s, 988.4 tps, lat 303.148 ms stddev 361.029, 0 failed
progress: 930.0 s, 995.5 tps, lat 302.077 ms stddev 374.828, 0 failed
progress: 940.0 s, 1001.7 tps, lat 296.929 ms stddev 366.425, 0 failed
progress: 950.0 s, 995.1 tps, lat 301.269 ms stddev 362.362, 0 failed
progress: 960.0 s, 1040.2 tps, lat 290.804 ms stddev 369.238, 0 failed
progress: 970.0 s, 1015.1 tps, lat 293.698 ms stddev 352.803, 0 failed
progress: 980.0 s, 1019.2 tps, lat 295.184 ms stddev 366.287, 0 failed
progress: 990.0 s, 979.1 tps, lat 306.737 ms stddev 371.460, 0 failed
progress: 1000.0 s, 1044.6 tps, lat 287.177 ms stddev 351.746, 0 failed
progress: 1010.0 s, 1013.2 tps, lat 296.402 ms stddev 351.009, 0 failed
progress: 1020.0 s, 1031.8 tps, lat 288.424 ms stddev 342.949, 0 failed
progress: 1030.0 s, 1030.5 tps, lat 292.754 ms stddev 361.927, 0 failed
progress: 1040.0 s, 1028.6 tps, lat 291.925 ms stddev 350.496, 0 failed
progress: 1050.0 s, 987.5 tps, lat 302.813 ms stddev 368.891, 0 failed
progress: 1060.0 s, 1003.9 tps, lat 300.142 ms stddev 353.556, 0 failed
progress: 1070.0 s, 1000.2 tps, lat 297.520 ms stddev 349.962, 0 failed
progress: 1080.0 s, 1003.7 tps, lat 300.838 ms stddev 353.689, 0 failed
progress: 1090.0 s, 997.9 tps, lat 301.399 ms stddev 363.123, 0 failed
progress: 1100.0 s, 1006.6 tps, lat 298.362 ms stddev 358.996, 0 failed
progress: 1110.0 s, 1027.9 tps, lat 290.693 ms stddev 354.007, 0 failed
progress: 1120.0 s, 1007.6 tps, lat 297.757 ms stddev 366.740, 0 failed
progress: 1130.0 s, 995.4 tps, lat 302.293 ms stddev 366.211, 0 failed
progress: 1140.0 s, 998.8 tps, lat 299.576 ms stddev 360.414, 0 failed
progress: 1150.0 s, 1035.2 tps, lat 290.288 ms stddev 356.791, 0 failed
progress: 1160.0 s, 1019.7 tps, lat 294.450 ms stddev 349.113, 0 failed
progress: 1170.0 s, 1006.3 tps, lat 297.529 ms stddev 353.684, 0 failed
progress: 1180.0 s, 996.4 tps, lat 301.243 ms stddev 358.666, 0 failed
progress: 1190.0 s, 1008.7 tps, lat 270.964 ms stddev 321.852, 0 failed
progress: 1200.0 s, 1018.0 tps, lat 319.783 ms stddev 1064.589, 0 failed
**transaction type:** <builtin: select only>

**scaling factor:** 300

**query mode:** simple

**number of clients:** 300

**number of threads:** 10

**maximum number of tries:** 1

**duration:** 1200 s

**number of transactions actually processed:** 1218865

**number of failed transactions:** 0 (0.000%)

**latency average** = 295.112 ms

**latency stddev** = 371.391 ms

**initial connection time** = 1331.068 ms

**tps** = 1016.297533 (without initial connection time)
